season_id,player_id,game_id,game_date,matchup,wl,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,video_available,team_id,team_abbreviation,team_name,player_name
22024,1642277,0022401189,"Apr 13, 2025",IND @ CLE,W,41,5,16,0.313,1,7,0.143,4,4,1.0,2,7,9,5,1,1,3,5,15,12,2,1610612754,IND,Indiana Pacers,Johnny Furphy
22024,201949,0022400933,"Mar 10, 2025",IND @ CHI,L,4,0,2,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,1,0,-5,1,1610612754,IND,Indiana Pacers,James Johnson
22024,1630174,0022401189,"Apr 13, 2025",IND @ CLE,W,14,4,7,0.571,1,2,0.5,1,1,1.0,2,2,4,1,1,0,1,2,10,-11,2,1610612754,IND,Indiana Pacers,Aaron Nesmith
22024,1628396,0022401189,"Apr 13, 2025",IND @ CLE,W,27,6,13,0.462,0,0,0.0,2,4,0.5,5,9,14,1,0,5,1,2,14,31,2,1610612754,IND,Indiana Pacers,Tony Bradley
22024,1630543,0022400138,"Nov 01, 2024",IND @ NOP,L,16,3,3,1.0,0,0,0.0,0,2,0.0,0,8,8,1,0,1,0,1,6,7,1,1610612754,IND,Indiana Pacers,Isaiah Jackson
22024,1641767,0022401119,"Apr 04, 2025",IND vs. UTA,W,20,1,2,0.5,1,2,0.5,0,0,0.0,2,2,4,2,2,0,0,1,3,20,1,1610612754,IND,Indiana Pacers,Ben Sheppard
22024,1631245,0022401189,"Apr 13, 2025",IND @ CLE,W,40,7,16,0.438,0,4,0.0,7,7,1.0,1,5,6,2,4,0,1,2,21,22,2,1610612754,IND,Indiana Pacers,Quenton Jackson
22024,1626167,0022401189,"Apr 13, 2025",IND @ CLE,W,13,3,4,0.75,1,2,0.5,2,2,1.0,0,1,1,1,0,1,1,1,9,-9,2,1610612754,IND,Indiana Pacers,Myles Turner
22024,1627783,0022401168,"Apr 10, 2025",IND vs. CLE,W,33,4,10,0.4,1,2,0.5,1,3,0.333,1,7,8,2,0,1,2,1,10,4,1,1610612754,IND,Indiana Pacers,Pascal Siakam
22024,1629622,0022401175,"Apr 11, 2025",CLE @ NYK,W,35,7,15,0.467,5,12,0.417,0,0,0.0,0,5,5,3,0,2,5,2,19,-4,2,1610612739,CLE,Cleveland Cavaliers,Max Strus
22024,1630596,0022401175,"Apr 11, 2025",CLE @ NYK,W,35,3,10,0.3,1,5,0.2,9,14,0.643,4,6,10,2,1,0,2,2,16,-5,1,1610612739,CLE,Cleveland Cavaliers,Evan Mobley
22024,1629750,0022401189,"Apr 13, 2025",CLE vs. IND,L,20,4,12,0.333,0,5,0.0,0,0,0.0,2,1,3,2,2,1,0,5,8,17,1,1610612739,CLE,Cleveland Cavaliers,Javonte Green
22024,1629660,0022401168,"Apr 10, 2025",CLE @ IND,L,26,9,16,0.563,4,6,0.667,2,2,1.0,1,1,2,6,0,1,2,1,24,13,1,1610612739,CLE,Cleveland Cavaliers,Ty Jerome
22024,1630241,0022401168,"Apr 10, 2025",CLE @ IND,L,29,5,9,0.556,5,8,0.625,0,0,0.0,0,3,3,4,1,1,0,3,15,-2,1,1610612739,CLE,Cleveland Cavaliers,Sam Merrill
22024,1641854,0022401189,"Apr 13, 2025",CLE vs. IND,L,43,7,19,0.368,4,9,0.444,2,4,0.5,1,4,5,5,0,2,7,2,20,-22,1,1610612739,CLE,Cleveland Cavaliers,Craig Porter Jr.
22024,1629631,0022401168,"Apr 10, 2025",CLE @ IND,L,32,9,19,0.474,3,7,0.429,2,2,1.0,1,10,11,2,2,1,3,3,23,18,1,1610612739,CLE,Cleveland Cavaliers,De'Andre Hunter
22024,1629643,0022401189,"Apr 13, 2025",CLE vs. IND,L,22,1,5,0.2,1,5,0.2,0,0,0.0,1,3,4,2,0,1,0,0,3,2,2,1610612739,CLE,Cleveland Cavaliers,Chuma Okeke
22024,1629636,0022401175,"Apr 11, 2025",CLE @ NYK,W,33,10,17,0.588,1,5,0.2,5,7,0.714,0,2,2,13,2,0,3,1,26,21,1,1610612739,CLE,Cleveland Cavaliers,Darius Garland
22024,202684,0022401189,"Apr 13, 2025",CLE vs. IND,L,43,1,4,0.25,0,0,0.0,1,6,0.167,2,18,20,1,1,2,3,3,3,-25,1,1610612739,CLE,Cleveland Cavaliers,Tristan Thompson
22024,1641734,0022401189,"Apr 13, 2025",CLE vs. IND,L,42,9,19,0.474,7,15,0.467,0,0,0.0,0,6,6,2,0,1,2,2,25,-22,2,1610612739,CLE,Cleveland Cavaliers,Emoni Bates
22024,1629731,0022401175,"Apr 11, 2025",CLE @ NYK,W,27,0,2,0.0,0,1,0.0,1,2,0.5,0,2,2,0,0,0,1,2,1,2,1,1610612739,CLE,Cleveland Cavaliers,Dean Wade
22024,1628386,0022401189,"Apr 13, 2025",CLE vs. IND,L,1,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,1,0,0,0,1,0,2,1,1610612739,CLE,Cleveland Cavaliers,Jarrett Allen
22024,1642281,0022401189,"Apr 13, 2025",CLE vs. IND,L,46,12,25,0.48,4,12,0.333,3,4,0.75,3,4,7,4,3,1,5,3,31,0,2,1610612739,CLE,Cleveland Cavaliers,Jaylon Tyson
22024,1641772,0022401189,"Apr 13, 2025",CLE vs. IND,L,47,8,21,0.381,2,8,0.25,6,8,0.75,6,6,12,2,0,1,1,6,24,9,2,1610612739,CLE,Cleveland Cavaliers,Nae'Qwan Tomlin
22024,1631247,0022401189,"Apr 13, 2025",CLE vs. IND,L,28,2,9,0.222,0,5,0.0,0,0,0.0,3,5,8,2,0,0,3,1,4,-1,2,1610612739,CLE,Cleveland Cavaliers,Luke Travers
22024,1630171,0022401175,"Apr 11, 2025",CLE @ NYK,W,27,6,9,0.667,3,3,1.0,0,0,0.0,2,3,5,1,1,0,0,4,15,9,1,1610612739,CLE,Cleveland Cavaliers,Isaac Okoro
22024,1628378,0022401138,"Apr 06, 2025",CLE vs. SAC,L,33,7,16,0.438,1,6,0.167,4,7,0.571,1,5,6,6,2,0,3,3,19,-4,1,1610612739,CLE,Cleveland Cavaliers,Donovan Mitchell
22024,1631128,0022401193,"Apr 13, 2025",DEN @ HOU,W,31,4,7,0.571,0,1,0.0,3,3,1.0,1,6,7,6,0,0,1,2,11,32,1,1610612743,DEN,Denver Nuggets,Christian Braun
22024,201566,0022401193,"Apr 13, 2025",DEN @ HOU,W,23,5,9,0.556,0,3,0.0,7,8,0.875,0,0,0,6,0,0,1,1,17,8,1,1610612743,DEN,Denver Nuggets,Russell Westbrook
22024,1629008,0022401193,"Apr 13, 2025",DEN @ HOU,W,29,8,12,0.667,3,6,0.5,0,0,0.0,0,7,7,0,0,2,1,2,19,21,1,1610612743,DEN,Denver Nuggets,Michael Porter Jr.
22024,1641816,0022401193,"Apr 13, 2025",DEN @ HOU,W,4,0,1,0.0,0,0,0.0,2,2,1.0,0,0,0,1,0,0,0,2,2,-13,1,1610612743,DEN,Denver Nuggets,Hunter Tyson
22024,1631124,0022401193,"Apr 13, 2025",DEN @ HOU,W,10,2,5,0.4,0,1,0.0,5,6,0.833,0,0,0,1,1,0,0,1,9,-19,1,1610612743,DEN,Denver Nuggets,Julian Strawther
22024,1631212,0022401193,"Apr 13, 2025",DEN @ HOU,W,17,3,6,0.5,2,3,0.667,1,2,0.5,1,3,4,0,1,1,0,0,9,7,1,1610612743,DEN,Denver Nuggets,Peyton Watson
22024,203967,0022401110,"Apr 02, 2025",DEN vs. SAS,L,7,2,2,1.0,0,0,0.0,0,0,0.0,0,1,1,1,0,0,1,1,4,-6,1,1610612743,DEN,Denver Nuggets,Dario Šarić
22024,201599,0022401193,"Apr 13, 2025",DEN @ HOU,W,11,2,3,0.667,0,0,0.0,0,0,0.0,2,3,5,0,0,0,0,0,4,-9,1,1610612743,DEN,Denver Nuggets,DeAndre Jordan
22024,1641790,0022401073,"Mar 28, 2025",DEN vs. UTA,W,5,3,4,0.75,1,1,1.0,0,0,0.0,1,2,3,0,0,0,0,1,7,-2,1,1610612743,DEN,Denver Nuggets,PJ Hall
22024,203999,0022401193,"Apr 13, 2025",DEN @ HOU,W,31,7,10,0.7,3,5,0.6,1,2,0.5,1,6,7,7,2,1,1,3,18,34,1,1610612743,DEN,Denver Nuggets,Nikola Jokić
22024,1642461,0022401110,"Apr 02, 2025",DEN vs. SAS,L,24,2,8,0.25,0,4,0.0,0,0,0.0,1,3,4,2,0,2,0,3,4,-13,1,1610612743,DEN,Denver Nuggets,Spencer Jones
22024,1630192,0022401193,"Apr 13, 2025",DEN @ HOU,W,6,0,1,0.0,0,1,0.0,1,2,0.5,0,1,1,0,0,0,0,0,1,-10,1,1610612743,DEN,Denver Nuggets,Zeke Nnaji
22024,1641725,0022401193,"Apr 13, 2025",DEN @ HOU,W,6,1,1,1.0,0,0,0.0,0,0,0.0,0,1,1,0,1,0,0,0,2,-10,1,1610612743,DEN,Denver Nuggets,Trey Alexander
22024,1629618,0022401193,"Apr 13, 2025",DEN @ HOU,W,19,0,4,0.0,0,2,0.0,0,0,0.0,0,1,1,1,0,1,1,2,0,-7,1,1610612743,DEN,Denver Nuggets,Jalen Pickett
22024,1627750,0022401193,"Apr 13, 2025",DEN @ HOU,W,25,6,16,0.375,1,4,0.25,3,3,1.0,2,5,7,3,0,0,1,0,16,20,1,1610612743,DEN,Denver Nuggets,Jamal Murray
22024,203932,0022401193,"Apr 13, 2025",DEN @ HOU,W,26,7,13,0.538,1,3,0.333,3,3,1.0,4,3,7,3,2,1,3,0,18,21,1,1610612743,DEN,Denver Nuggets,Aaron Gordon
22024,1628427,0022401125,"Apr 04, 2025",DEN @ GSW,L,4,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,2,0,0,-7,1,1610612743,DEN,Denver Nuggets,Vlatko Čančar
